,text
420,"19 Jun Love the content, 2wild. Tbh, anyone who knows how to code is vibe coding everything now anyway. It's an unbelievable space. Always learning, always changing, and moving at a crazy pace. Exciting times ahead 1 4 109"
421,19 Jun dan @near_ai Awesome maybe I can start using NEAR AI for my vibe coding 2 194
422,"19 Jun I spent two full days at a ""vibe coding"" conference. Everything (art, music, games, drawings, even perfume) was AI generated. My honest takeaways: - There's a massive wave happening. Genuine curiosity and excitement I haven't seen in tech in a long time. Especially with the 7 2 24 3 rb"
423,"19 Jun What is the variance between common metrics (eg. steps, HRV, sleep score) across all three devices? I’m also considering vibe coding an app where you can anonymously share and receive data from people in your peer group - I love to nerd out on other people’s metrics 2 115"
424,"19 Jun if you've logged into creator hub, change your info asap and know your data is highly at risk. this is why vibecoding by inexperienced programmers is bad eggie blocked me for pointing out the claude use early on since she wasn't upfront initially with how much of it was used Kutipan kubi @khubiez 19 Jun Membalas @EggieWeggieVT Diterjemahkan dari Inggris maaf, tapi aku rasa kamu benar-benar harus menjadikan proyek ini privat sampai aman. kamu secara aktif membahayakan informasi orang-orang dengan semua kerentanan yang bisa dilihat siapa saja bahkan dengan scan pasif. butuh mungkin kurang dari sehari bagi seseorang dengan motif 7 38 270 25 rb"
425,"19 Jun told myself no more vibecoding tonight 04:10 and I am teaching aura to guard my attention set up a focus rail inside @heyaura : one now view that merges my messy watchlists, hides duplicates, and only surfaces moves that fit my own rules. non urgent stuff gets parked in a later 3 7 33"
426,"19 Jun Will be interesting to see what comes out of here. Design is the only part of the whole app a customer interacts with. It matters. This whole time, everyone's been focused on vibe coding one more app. Just for the sake of it. No true care. Standards on quality. Then Kutipan Thais Castello Branco @thaiscbranco_ 16 Jun Diterjemahkan dari Inggris Kami sangat antusias memperkenalkan Taste Labs. Misi kami adalah mengakhiri AI slop. Kami sedang membangun lapisan data dan infrastruktur untuk memberikan rasa kepada model dan agen AI. Dan hari ini kami keluar dari mode siluman, mengumumkan pendanaan seed senilai $18.5M kami, 2 57"
427,"19 Jun VibeCon NYC, day 2 happening right now. Vibe coding meets art, code, and culture. Spike Jones, Amjad, Michele on the ground. @raymmar + @Franciscocrz brought us a video update from the floor → Kutipan Raymmar @raymmar 18 Jun Since we won't be on the showcase stream with @MannyBernabe today @Franciscocrz and I wanted to send a short update for the community with a sneak peek inside VibeCon. See you all back on our regular schedule soon! 1:47 1 3 242"
428,19 Jun wow thats crazy ! @FrancescoCiull4 i liked one wow tweet and now there are more wow tweets on my timeline than any grok / cursor / fable / vibecoding / rust tweets 1 4 934
429,19 Jun I was vibe coding my own little ai avatar that works with screenshots/recordings but I think im gonna use this! @gauravsbuilding i have a feature request :) Kutipan Gaurav @gauravsbuilding 18 Jun Diterjemahkan dari Inggris Hari ini kami memperkenalkan Claude untuk Media Sosial. Cukup masukkan situs web Anda dan Fastlane membuat ribuan video viral yang mempromosikan produk Anda dengan satu klik. Ini benar-benar gila. 1 3 1 rb
430,19 Jun خلاصه Vibe Coding تا اینجا : ایده کوچیک رو فراتر از انتظار عالی میسازه ایده بزرگ رو فراتر از انتظار می‌رینه Kutipan بوکانت @bookunt 19 Jun یه بازی پیشرفته تر خواستم بسازم نتونست! x.com/bookunt/status… 6 2 101 5 rb
431,"19 Jun dan @Erivlt Porque lo dice el propio término, pendejo sin cerebro. Un cocinero no lo es porque ve recetas en YouTube, lo es porque se pone a preparar cosas en la cocina. Un dev como tú no lo es por el vibe coding, sino por su portafolio. Un gamer juega, el propio término lo dice. 🫪 4 47"
432,19 Jun rei do vibecoding de vazamento ataca novamente hahaha 2 86 5 rb
433,"19 Jun people often see my stunning girlfriend and assume i have looks, money, status or a fully integrated gbrain + gstack vibecoding setup they are only correct on the last point 5 1 80 6 rb"
434,"19 Jun One downside of massive vibecoding is no one understands what ( niche ) feature is in the project. Answer would be no but it actually does exists. But does it really matter when you can prompt the LLM to say “does this exist”, “how does this work” 3 2 29 2 rb"
435,19 Jun dan @WoClaudecraft yoo 1000 stars already is actually insane open source and vibecoding is a dangerous combo when people start showing up and contributing 5 60
436,19 Jun Vibe coding is addictive. Production bugs are the rehab. 1 3 27
