topic,n,share_%,coherence,coh_p10,keywords,flag
20,163,1.7,0.625,0.494,"icp, bitcoin, engines, sovereign, blockchain",ok
5,404,4.1,0.636,0.504,"portfolio website, beautiful, seo, shopify, domain",ok
11,185,1.9,0.638,0.512,"flash, gemini flash, gemini cli, neo, deepseek",ok
27,408,4.1,0.645,0.49,"moat, hard part, não, revolution, revenue",ok
12,373,3.8,0.646,0.511,"luma, stream, bootcamp, camp, 00",ok
21,111,1.1,0.646,0.505,"funding, ai startup, raised, round, base44",ok
1,469,4.8,0.651,0.504,"fable, claudecode, mar claude, evals, et",ok
23,383,3.9,0.655,0.521,"hiring, ston fi, ston, agentic engineering, fi",ok
26,356,3.6,0.657,0.518,"sort, jun day, array, trace, feb claude",ok
2,371,3.8,0.66,0.534,"gaming, gamedev, multiplayer, video game, unity",ok
24,117,1.2,0.661,0.554,"dreamspace, codexero, sei, chain, monetize",ok
25,91,0.9,0.673,0.552,"git, github copilot, commit, cons, spark",ok
7,308,3.1,0.676,0.545,"composer sonnet, jenis, bahwa, cursor composer, bahkan",ok
6,234,2.4,0.677,0.52,"hi, re into, re working, ai ml, active",ok
9,143,1.5,0.678,0.554,"gpt codex, 4o, overall, uso, benchmarks",ok
28,80,0.8,0.68,0.582,"mcp server, mcp servers, servers, inco, mcps",ok
10,229,2.3,0.685,0.556,"000 000, revenue, arr, dollar, lain",ok
8,235,2.4,0.689,0.564,"safe, vulnerabilities, 0g, exposed, audit",ok
13,136,1.4,0.692,0.573,"crm, ai saas, replace, inc, saas ai",ok
18,678,6.9,0.694,0.585,"almanak, replace, strategies, ai isn, swarm",ok
14,133,1.4,0.7,0.587,"apple, ios, iphone, swift, removed",ok
4,272,2.8,0.705,0.594,"cursor ai, using cursor, use cursor, composer, cursor agent",ok
16,467,4.7,0.706,0.572,"build anything, fundamentals, passion, new project, first project",ok
0,895,9.1,0.709,0.602,"mobile app, mini app, first app, app using, build apps",ok
30,73,0.7,0.715,0.6,"web3 ai, seedify, infinity ground, infinity, chain",ok
3,705,7.2,0.716,0.607,"https github, claude ai, notion, في, ai assistant",ok
19,403,4.1,0.718,0.615,"knows, addictive, claude md, chaos, composer",ok
17,142,1.4,0.722,0.602,"google ai, multiplayer, 19 mar, upgraded, mar artikel",ok
15,461,4.7,0.74,0.625,"ritual, music, aura, compile, youre",ok
22,480,4.9,0.743,0.636,"ai write, stupid, torvalds, ai writes, let ai",ok
29,342,3.5,0.757,0.675,"driven development, ai build, difference between, assisted development, software engineering",ok
